drawTerm,dDate,bigShowOrder,createDate
114022914,2025-04-23,"01,03,04,09,13,15,29,33,40,44,47,52,55,58,63,65,70,73,76,77",2025-04-23 21:54:57.473
114022913,2025-04-23,"07,14,18,20,21,22,26,29,31,39,40,42,43,44,46,62,65,69,70,74",2025-04-23 21:54:57.487
114022912,2025-04-23,"09,10,11,13,14,15,27,32,45,46,48,55,56,61,66,67,71,73,75,80",2025-04-23 21:54:57.503
114022911,2025-04-23,"01,03,18,21,28,30,33,40,42,44,46,54,62,64,68,70,71,75,77,79",2025-04-23 21:54:57.520
114022910,2025-04-23,"07,08,10,12,15,18,21,28,30,33,39,42,45,49,57,69,70,71,72,77",2025-04-23 21:54:57.530
114022909,2025-04-23,"02,03,13,14,21,23,26,36,38,40,45,54,55,57,66,72,76,77,78,80",2025-04-23 21:54:57.547
114022908,2025-04-23,"01,10,12,14,15,17,19,29,33,36,39,40,45,53,65,66,67,71,78,80",2025-04-23 21:54:57.560
114022907,2025-04-23,"02,07,13,15,17,22,24,33,34,37,46,51,53,54,55,56,59,60,61,65",2025-04-23 21:54:57.577
114022906,2025-04-23,"05,06,07,21,22,24,36,40,48,50,53,57,65,66,69,71,72,74,77,78",2025-04-23 21:54:57.590
114022905,2025-04-23,"01,06,10,11,15,17,21,24,26,33,36,38,45,52,54,56,63,65,67,79",2025-04-23 21:54:57.607
114022904,2025-04-23,"01,04,05,06,13,19,25,27,33,39,45,47,53,55,60,61,63,70,75,79",2025-04-23 21:54:57.620
114022903,2025-04-23,"03,04,12,14,15,16,21,31,32,35,38,42,51,58,60,63,65,66,71,76",2025-04-23 21:54:57.630
114022902,2025-04-23,"01,05,06,08,11,15,17,18,25,26,28,41,57,61,63,64,71,73,75,78",2025-04-23 21:54:57.643
114022901,2025-04-23,"01,04,19,23,25,27,30,31,32,33,39,40,43,46,53,54,55,58,78,79",2025-04-23 21:54:57.660
114022900,2025-04-23,"04,05,07,11,14,16,18,32,34,44,46,51,55,56,59,63,65,68,73,75",2025-04-23 21:54:57.670
114022899,2025-04-23,"08,23,25,26,28,29,32,34,40,41,45,47,50,57,59,61,65,70,72,77",2025-04-23 21:54:57.687
114022898,2025-04-23,"04,14,20,30,31,34,35,40,41,48,50,58,61,63,64,65,74,75,78,79",2025-04-23 21:54:57.707
114022897,2025-04-23,"07,10,11,13,14,17,19,22,25,36,39,42,43,49,60,63,65,75,79,80",2025-04-23 21:54:57.720
114022896,2025-04-23,"01,05,12,15,17,22,23,27,30,38,39,50,52,53,54,59,65,67,78,80",2025-04-23 21:54:57.737
114022895,2025-04-23,"08,10,15,20,22,26,27,29,35,39,41,42,46,47,58,60,73,74,76,78",2025-04-23 21:54:57.750
114022894,2025-04-23,"03,04,10,19,23,27,29,31,35,45,47,48,53,56,59,60,67,68,73,78",2025-04-23 21:54:57.767
114022893,2025-04-23,"06,13,17,23,24,35,41,42,45,46,48,50,54,55,56,66,67,68,69,74",2025-04-23 21:54:57.780
114022892,2025-04-23,"02,03,05,13,14,27,28,33,38,39,43,48,53,58,59,60,72,74,77,80",2025-04-23 21:54:57.793
114022891,2025-04-23,"01,05,07,11,12,18,19,29,31,32,33,35,44,48,53,55,62,66,74,76",2025-04-23 21:54:57.810
114022890,2025-04-23,"05,06,13,16,18,24,26,29,34,36,40,41,44,45,50,53,62,72,75,79",2025-04-23 21:54:57.823
114022889,2025-04-23,"03,13,15,19,23,26,30,33,40,41,46,47,48,57,62,70,71,74,78,80",2025-04-23 21:54:57.840
114022888,2025-04-23,"01,02,11,17,19,20,21,22,27,36,39,45,48,50,59,62,66,72,78,80",2025-04-23 21:54:57.853
114022887,2025-04-23,"04,14,16,17,20,22,23,28,29,37,38,42,45,48,49,56,65,70,77,79",2025-04-23 21:54:57.870
114022886,2025-04-23,"01,04,05,06,13,16,18,26,33,41,55,56,58,61,65,66,73,75,76,78",2025-04-23 21:54:57.887
114022885,2025-04-23,"03,07,10,15,17,18,22,24,27,28,36,41,43,49,54,57,60,65,72,78",2025-04-23 21:54:57.900
114022884,2025-04-23,"08,15,16,17,24,25,27,32,34,37,43,48,56,57,60,67,69,73,74,76",2025-04-23 21:54:57.927
114022883,2025-04-23,"07,20,21,23,32,33,37,38,40,42,43,49,53,56,60,66,68,72,75,79",2025-04-23 21:54:57.957
114022882,2025-04-23,"05,08,09,18,21,23,24,32,34,38,42,43,51,52,57,61,63,71,78,80",2025-04-23 21:54:57.970
114022881,2025-04-23,"03,05,12,13,14,18,19,21,25,28,34,40,46,55,56,58,61,63,68,79",2025-04-23 21:54:57.990
114022880,2025-04-23,"04,11,14,22,23,24,30,39,40,42,47,51,54,59,61,62,68,76,79,80",2025-04-23 21:54:58.003
114022879,2025-04-23,"01,08,12,16,19,28,30,31,36,37,39,47,55,58,59,64,65,70,71,77",2025-04-23 21:54:58.020
114022878,2025-04-23,"02,14,18,21,22,24,25,33,38,51,53,54,55,57,58,60,61,71,73,80",2025-04-23 21:54:58.033
114022877,2025-04-23,"03,04,12,17,18,21,22,24,30,35,37,41,44,45,49,56,63,64,76,80",2025-04-23 21:54:58.047
114022876,2025-04-23,"01,02,04,10,12,19,21,40,46,48,49,50,59,60,62,66,73,76,77,78",2025-04-23 21:54:58.063
114022875,2025-04-23,"01,10,11,23,27,29,30,31,35,39,40,41,47,52,59,62,73,74,75,78",2025-04-23 21:54:58.080
114022874,2025-04-23,"02,06,09,11,18,23,25,30,31,33,35,37,42,46,50,53,55,65,67,74",2025-04-23 21:54:58.097
114022873,2025-04-23,"13,15,17,20,21,25,27,33,35,40,44,46,48,49,50,52,54,70,77,79",2025-04-23 21:54:58.117
114022872,2025-04-23,"03,05,06,07,08,14,15,24,25,26,28,29,30,35,40,42,49,65,73,78",2025-04-23 21:54:58.133
114022871,2025-04-23,"04,06,07,08,13,14,17,18,21,30,34,40,42,44,68,73,74,75,77,79",2025-04-23 21:54:58.147
114022870,2025-04-23,"03,15,16,26,27,31,32,33,35,42,50,56,58,62,71,72,73,74,75,78",2025-04-23 21:54:58.160
114022869,2025-04-23,"09,15,18,23,26,29,30,32,36,43,44,47,58,61,65,69,72,77,79,80",2025-04-23 21:54:58.167
114022868,2025-04-23,"01,03,04,12,18,21,23,30,32,37,44,51,52,59,63,66,71,72,73,75",2025-04-23 21:54:58.183
114022867,2025-04-23,"02,03,06,12,13,18,21,24,30,32,34,35,38,45,54,58,61,68,71,72",2025-04-23 21:54:58.197
114022866,2025-04-23,"05,08,13,17,18,19,26,27,28,29,30,35,36,41,42,44,54,56,66,80",2025-04-23 21:54:58.213
114022865,2025-04-23,"06,07,14,20,23,25,26,32,38,40,45,46,50,55,68,69,70,71,72,76",2025-04-23 21:54:58.227
114022864,2025-04-23,"02,10,12,15,19,20,21,23,24,30,41,43,47,52,59,60,64,68,69,73",2025-04-23 21:54:58.240
114022863,2025-04-23,"02,03,04,13,21,22,26,35,40,46,51,52,55,62,63,67,70,72,73,76",2025-04-23 21:54:58.257
114022862,2025-04-23,"02,03,06,09,11,12,14,20,24,27,32,37,39,46,54,60,64,65,76,80",2025-04-23 21:54:58.270
114022861,2025-04-23,"01,03,15,18,20,22,23,24,26,31,35,36,42,47,48,50,54,60,68,74",2025-04-23 21:54:58.287
114022860,2025-04-23,"05,10,11,19,33,37,39,44,45,46,48,51,52,59,60,65,73,74,77,79",2025-04-23 21:54:58.303
114022859,2025-04-23,"04,09,14,15,19,20,22,24,28,31,41,47,48,52,56,62,68,69,70,73",2025-04-23 21:54:58.317
114022858,2025-04-23,"09,10,12,15,16,20,35,38,40,43,49,54,55,56,61,63,64,70,79,80",2025-04-23 21:54:58.333
114022857,2025-04-23,"07,10,15,24,25,26,27,32,35,40,50,57,59,62,68,69,72,76,77,80",2025-04-23 21:54:58.350
114022856,2025-04-23,"04,08,17,18,21,24,28,30,33,36,40,41,42,45,48,50,64,65,79,80",2025-04-23 21:54:58.367
114022855,2025-04-23,"05,12,21,23,24,34,40,42,44,53,56,59,60,61,62,63,64,76,77,79",2025-04-23 21:54:58.380
114022854,2025-04-23,"01,09,11,14,18,19,20,21,22,27,31,39,44,51,53,56,61,63,64,80",2025-04-23 21:54:58.397
114022853,2025-04-23,"03,07,08,10,16,17,19,20,25,28,32,36,43,50,52,55,68,74,78,80",2025-04-23 21:54:58.417
114022852,2025-04-23,"01,03,08,11,12,26,29,33,34,36,38,41,53,54,60,67,68,72,76,77",2025-04-23 21:54:58.437
114022851,2025-04-23,"04,05,07,08,10,11,12,20,21,30,45,51,54,55,58,60,66,71,76,77",2025-04-23 21:54:58.450
114022850,2025-04-23,"03,05,11,15,25,29,31,32,35,40,42,49,59,61,62,63,69,71,72,79",2025-04-23 21:54:58.467
114022849,2025-04-23,"02,03,19,24,29,32,34,35,38,40,48,53,59,65,66,67,68,71,73,76",2025-04-23 21:54:58.487
114022848,2025-04-23,"02,03,12,15,17,23,24,26,28,31,33,35,37,41,42,45,57,60,76,79",2025-04-23 21:54:58.500
114022847,2025-04-23,"08,09,12,13,22,32,39,43,44,45,49,51,54,56,62,65,70,73,76,77",2025-04-23 21:54:58.517
114022846,2025-04-23,"02,06,07,15,28,35,38,39,41,47,54,55,57,59,61,63,64,65,71,72",2025-04-23 21:54:58.537
114022845,2025-04-23,"05,07,09,11,16,21,23,29,35,38,48,49,54,57,62,67,70,72,75,78",2025-04-23 21:54:58.550
114022844,2025-04-23,"02,03,04,05,08,11,14,15,16,18,22,23,27,56,62,69,72,75,76,78",2025-04-23 21:54:58.567
114022843,2025-04-23,"03,05,08,09,10,15,20,22,24,28,29,31,36,41,58,59,61,72,73,76",2025-04-23 21:54:58.580
114022842,2025-04-23,"01,09,18,22,23,32,39,42,45,47,48,55,59,60,67,69,72,74,76,80",2025-04-23 21:54:58.597
114022841,2025-04-23,"05,09,10,13,14,22,29,37,39,41,42,43,45,47,50,53,56,64,66,77",2025-04-23 21:54:58.613
114022840,2025-04-23,"05,11,12,20,21,23,27,29,34,37,38,40,43,47,51,54,57,60,70,73",2025-04-23 21:54:58.637
114022839,2025-04-23,"02,04,07,15,16,31,37,40,45,46,47,50,55,58,59,64,65,69,70,73",2025-04-23 21:54:58.650
114022838,2025-04-23,"07,09,10,18,20,25,30,32,39,41,47,50,51,56,67,69,70,73,76,77",2025-04-23 21:54:58.670
114022837,2025-04-23,"05,07,08,17,24,26,28,34,36,47,50,51,55,60,66,68,72,75,77,78",2025-04-23 21:54:58.683
114022836,2025-04-23,"04,07,08,10,18,19,23,25,26,28,34,44,46,50,55,58,66,69,77,79",2025-04-23 21:54:58.700
114022835,2025-04-23,"05,07,09,17,18,19,22,26,29,31,39,41,46,47,51,52,57,60,63,70",2025-04-23 21:54:58.733
114022834,2025-04-23,"04,06,14,27,34,38,42,44,45,47,49,51,53,59,62,67,69,74,77,78",2025-04-23 21:54:58.747
114022833,2025-04-23,"03,11,20,24,29,30,40,41,43,44,47,52,55,56,61,64,68,71,79,80",2025-04-23 21:54:58.760
114022832,2025-04-23,"03,09,11,24,34,36,37,39,42,43,45,51,53,55,58,63,69,73,76,77",2025-04-23 21:54:58.777
114022831,2025-04-23,"01,02,05,23,29,31,34,39,43,44,45,46,51,53,55,56,58,70,73,77",2025-04-23 21:54:58.790
