date,drawTerm,dDate,bigShowOrder
2024-01-02,113000406,2024-01-02,"03,05,10,18,24,27,28,30,34,35,36,41,44,47,57,61,64,65,66,78"
2024-01-02,113000405,2024-01-02,"04,09,14,16,19,23,26,32,34,38,41,43,44,49,50,58,60,63,74,77"
2024-01-02,113000404,2024-01-02,"01,19,21,22,25,28,30,34,35,38,42,46,47,48,49,59,70,77,78,80"
2024-01-02,113000403,2024-01-02,"01,09,12,24,28,29,37,38,41,50,53,56,57,60,61,63,66,72,77,80"
2024-01-02,113000402,2024-01-02,"05,07,09,12,19,20,28,30,32,34,40,42,44,46,52,54,59,66,67,70"
2024-01-02,113000401,2024-01-02,"03,06,11,13,14,18,23,32,38,41,42,49,54,57,58,62,66,69,70,77"
2024-01-02,113000400,2024-01-02,"02,06,09,14,22,29,31,36,40,44,45,46,50,53,54,65,67,74,78,79"
2024-01-02,113000399,2024-01-02,"03,06,10,11,13,14,17,22,23,28,41,42,46,50,52,54,58,68,71,78"
2024-01-02,113000398,2024-01-02,"07,09,18,21,25,28,34,35,36,43,46,53,57,61,62,64,67,72,74,78"
2024-01-02,113000397,2024-01-02,"03,08,17,24,30,36,38,43,49,52,53,59,63,64,65,68,69,71,76,77"
2024-01-02,113000396,2024-01-02,"06,08,14,19,20,25,26,27,30,31,33,38,45,66,68,72,74,76,78,79"
2024-01-02,113000395,2024-01-02,"01,03,05,07,12,14,21,23,31,33,35,40,42,47,53,60,62,69,70,73"
2024-01-02,113000394,2024-01-02,"02,09,16,17,18,29,30,33,35,37,40,42,49,51,60,63,65,73,77,80"
2024-01-02,113000393,2024-01-02,"06,07,11,12,13,17,18,19,22,23,26,33,38,39,51,55,59,63,77,80"
2024-01-02,113000392,2024-01-02,"05,07,09,11,17,18,22,23,26,35,37,49,51,58,60,61,72,73,79,80"
2024-01-02,113000391,2024-01-02,"03,04,05,07,15,16,17,23,25,30,48,52,55,60,63,73,74,76,78,80"
2024-01-02,113000390,2024-01-02,"01,06,07,11,13,19,20,22,27,28,35,43,46,53,58,60,67,71,75,76"
2024-01-02,113000389,2024-01-02,"01,03,14,18,19,24,34,38,42,47,57,58,60,63,69,72,73,74,79,80"
2024-01-02,113000388,2024-01-02,"04,05,11,16,18,20,21,30,32,35,44,46,52,57,58,60,63,64,70,80"
2024-01-02,113000387,2024-01-02,"04,06,15,20,22,30,36,37,40,41,45,46,52,53,54,56,64,68,73,76"
2024-01-02,113000386,2024-01-02,"05,06,14,16,20,21,23,25,27,38,43,45,58,60,64,67,72,75,76,80"
2024-01-02,113000385,2024-01-02,"02,16,19,23,33,34,38,39,48,51,53,61,66,68,72,73,74,75,77,80"
2024-01-02,113000384,2024-01-02,"01,04,06,07,21,26,27,35,36,39,40,42,45,47,56,57,58,62,74,79"
2024-01-02,113000383,2024-01-02,"03,05,07,14,18,21,24,26,33,36,38,43,45,46,47,48,62,63,66,75"
2024-01-02,113000382,2024-01-02,"02,04,08,12,13,14,15,32,36,44,53,57,58,59,64,65,67,71,76,77"
2024-01-02,113000381,2024-01-02,"02,04,06,18,19,20,25,26,34,41,48,57,61,63,64,68,70,76,78,80"
2024-01-02,113000380,2024-01-02,"09,11,16,23,24,25,37,38,40,44,51,54,55,58,64,67,69,71,77,80"
2024-01-02,113000379,2024-01-02,"02,09,15,20,23,30,36,37,39,43,45,48,49,50,62,64,68,72,78,79"
2024-01-02,113000378,2024-01-02,"03,06,17,19,21,22,25,32,35,46,48,49,50,54,55,67,69,71,78,79"
2024-01-02,113000377,2024-01-02,"01,10,12,14,17,27,32,34,35,41,46,48,52,59,61,63,67,70,71,74"
2024-01-02,113000376,2024-01-02,"03,14,16,17,22,27,32,36,37,39,42,44,47,50,51,52,54,56,72,73"
2024-01-02,113000375,2024-01-02,"04,09,16,17,22,23,26,28,34,40,42,44,48,52,53,59,61,68,70,79"
2024-01-02,113000374,2024-01-02,"15,19,25,27,32,35,37,41,43,47,49,50,52,56,57,63,71,74,75,77"
2024-01-02,113000373,2024-01-02,"06,09,13,16,17,18,20,21,22,35,39,42,45,46,47,51,61,65,67,75"
2024-01-02,113000372,2024-01-02,"01,04,06,08,09,10,12,15,21,26,29,32,35,48,53,58,59,67,68,73"
2024-01-02,113000371,2024-01-02,"01,04,06,08,10,19,23,24,27,36,43,47,55,65,71,72,74,75,76,80"
